% format: temp_front_[alt]_hPa(city1,city2,yyyy,mm,dd,h).

temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,1).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,1,1).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,2).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,2).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,2).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,2).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,1,2).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,3).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,3).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,1,3).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,3).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,1,3).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,4).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,4).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,1,4).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,4).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,1,4).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,5).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,5).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,5).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,5).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,1,5).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,6).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,1,6).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,6).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,6).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,1,6).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,1,7).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,7).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,1,7).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,1,8).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,8).
